,company,costOfRevenue,ebit,grossProfit,incomeBeforeTax,incomeTaxExpense,interestExpense,minorityInterest,netIncome,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,operatingIncome,otherOperatingExpenses,sellingGeneralAdministrative,totalOperatingExpenses,totalOtherIncomeExpenseNet,totalRevenue,accountsPayable,capitalSurplus,cash,commonStock,deferredLongTermAssetCharges,inventory,longTermDebt,longTermInvestments,minorityInterest.1,netReceivables,netTangibleAssets,otherAssets,otherCurrentAssets,otherCurrentLiab,otherLiab,otherStockholderEquity,propertyPlantEquipment,retainedEarnings,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiab,totalStockholderEquity,treasuryStock,esgRiskRating,esgCluster,cluster,DCN
0,AALI.jk,1.58E+13,1.88E+12,3E+12,1.46E+12,5.69E+11,-3.93E+11,4.95E+11,8.33E+11,8.33E+11,8.94E+11,1.88E+12,1.08E+11,1.01E+12,1.69E+13,-4.14E+11,1.88E+13,7.7E+11,3.88E+12,9.79E+11,9.62E+11,7.23E+11,2.51E+12,5.86E+12,2.56E+11,4.95E+11,1.39E+12,1.87E+13,3.79E+12,1.06E+12,7.63E+11,8.83E+11,-5.86E+11,1.77E+13,1.45E+13,2.78E+13,5.94E+12,1.79E+12,8.53E+12,1.88E+13,-5.86E+11,44.7,4,1,4
1,ACES.jk,3.97E+12,9.94E+11,3.44E+12,9.26E+11,1.95E+11,-82473589167,14772408978,7.33E+11,7.33E+11,7.31E+11,9.94E+11,-1.39E+11,2.59E+12,6.42E+12,-67767219877,7.41E+12,1.64E+11,4.41E+11,2.22E+12,1.72E+11,1.49E+11,2.63E+12,,,14772408978,1.43E+11,5.2E+12,5.81E+11,29744703904,2.1E+11,6.03E+11,239797199,1.63E+12,4.63E+12,7.25E+12,5.03E+12,8.45E+11,2.02E+12,5.21E+12,-33945075301,16.9,1,3,0
2,ADRO.jk,2.84E+13,5.35E+12,8.36E+12,3.22E+12,9.23E+11,-1.3E+12,3.47E+12,2.13E+12,2.13E+12,2.3E+12,5.35E+12,6.11E+11,2.4E+12,3.14E+13,-2.13E+12,3.68E+13,3.11E+12,1.67E+13,1.7E+13,4.97E+12,3.64E+11,1.52E+12,1.14E+13,1E+13,3.47E+12,3.89E+12,4.25E+13,3.87E+12,4.62E+11,1.11E+12,6.08E+12,-1.92E+12,4.22E+13,3.4E+13,9.25E+13,2.51E+13,1.66E+13,3.52E+13,5.38E+13,-1.92E+12,39.7,3,4,3
3,AKRA.jk,1.57E+13,1.21E+12,2.04E+12,1.24E+12,2.81E+11,-74283971000,1.8E+12,9.25E+11,9.25E+11,9.62E+11,1.21E+12,-7105786000,8.4E+11,1.65E+13,34446255000,1.77E+13,3.01E+12,1.29E+12,1.55E+12,4.01E+11,2.44E+11,3.63E+12,2.66E+12,5.48E+11,1.8E+12,2.67E+12,8.75E+12,4.5E+12,1.43E+11,3.73E+11,1.86E+11,2.51E+11,5.59E+12,6.93E+12,1.87E+13,8.04E+12,5.1E+12,8.13E+12,8.75E+12,1.33E+11,25.6,2,1,0
4,ANTM.jk,2.26E+13,2.29E+12,4.78E+12,1.64E+12,4.92E+11,-3.98E+11,21000000,1.15E+12,1.15E+12,1.15E+12,2.29E+12,1.63E+11,2.24E+12,2.51E+13,-6.52E+11,2.74E+13,6.73E+11,3.93E+12,3.98E+12,2.4E+12,1.73E+11,2.63E+12,3.39E+12,1.07E+12,21000000,1.81E+12,1.89E+13,1.75E+12,7.18E+11,1.26E+12,1.66E+12,3.92E+12,1.96E+13,8.79E+12,3.17E+13,9.15E+12,7.55E+12,1.27E+13,1.9E+13,3.92E+12,39.9,3,1,0
5,APIC.jk,1.84E+12,,2.99E+11,1.13E+11,7185626138,,71883115235,1.02E+11,1.02E+11,1.05E+11,80737135028,5210769655,2.05E+11,2.06E+12,31872114281,2.14E+12,4.33E+11,43471495814,3.21E+11,1.22E+12,11390020805,,,1.52E+12,71883115235,1.61E+12,1.89E+12,1.32E+11,1.31E+11,12763284091,1.42E+12,27331348380,1.9E+11,6E+11,4.88E+12,3.04E+12,1.49E+12,2.92E+12,1.89E+12,27331348380,18.2,1,3,0
6,APLN.jk,2.77E+12,1.25E+12,2.19E+12,3.95E+11,2.15E+11,-7.5E+11,2.81E+12,-1.37E+11,-1.37E+11,1.8E+11,1.25E+12,53044032000,8.81E+11,3.7E+12,-8.6E+11,4.96E+12,7.93E+11,1.5E+12,8.45E+11,2.27E+12,63725768000,7.36E+12,9.17E+12,8.73E+11,2.81E+12,1.37E+12,8.51E+12,1.38E+13,1.86E+12,4.34E+12,3.71E+12,-91631223000,3.98E+12,4.87E+12,3.04E+13,1.17E+13,6.16E+12,1.9E+13,8.54E+12,-91631223000,29,2,3,3
7,ASII.jk,1.45E+14,1.43E+13,3.02E+13,2.17E+13,3.17E+12,-3.39E+12,3.98E+13,1.62E+13,1.62E+13,1.86E+13,1.43E+13,,1.58E+13,1.61E+14,7.42E+12,1.75E+14,1.65E+13,1.14E+12,4.76E+13,2.02E+12,4.8E+12,1.79E+13,4.16E+13,4.54E+13,3.98E+13,2.19E+13,1.41E+14,3.37E+13,6.61E+12,2.07E+13,1.47E+13,3.43E+12,7.92E+13,1.49E+14,3.38E+14,1.32E+14,8.57E+13,1.43E+14,1.56E+14,3.43E+12,42.9,4,5,6
8,ASSA.jk,2.16E+12,3.13E+11,8.75E+11,70870301721,6973879741,-2.49E+11,1.56E+11,87147720192,87147720192,63896421980,3.13E+11,85455267951,4.77E+11,2.72E+12,-2.42E+11,3.04E+12,95022410302,3.75E+11,1.92E+11,3.4E+11,44821273531,5668136643,2.08E+12,36356429433,1.56E+11,3.95E+11,1.15E+12,3.73E+12,3700024580,1.94E+11,2.08E+11,,6.38E+11,5.69E+11,5.17E+12,6.28E+11,1.44E+12,3.73E+12,1.28E+12,,21,2,3,4
9,BBCA.jk,1.44E+12,,6.21E+13,3.36E+13,6.42E+12,,1.18E+11,2.71E+13,2.71E+13,2.71E+13,3.36E+13,3.78E+12,2.47E+13,2.99E+13,-16346000000,6.35E+13,8.46E+14,5.55E+12,7.88E+13,1.54E+12,4.88E+12,1.53E+12,1.11E+12,1.93E+14,1.18E+11,4.07E+11,1.83E+14,5.82E+14,4.11E+13,1.49E+13,2.71E+13,1.7E+13,2.19E+13,1.61E+14,1.08E+15,2.77E+14,8.62E+14,8.91E+14,1.85E+14,1.7E+13,25.9,2,2,4
